Title,Video URL,Channel,Channel URL,Timestamp,Year,Month,Weekdays,TimeOfDay,Hour
Classification Trees in Python from Start to Finish,https://www.youtube.com/watch?v=q90UDEgYqeI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-15 15:56:06+04:00,2023,5,0,Working Hours,15
"Design Matrices For Linear Models, Clearly Explained!!!",https://www.youtube.com/watch?v=CqLGvwi-5Pc,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-15 11:36:31+04:00,2023,5,0,Working Hours,11
"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",https://www.youtube.com/watch?v=NF5_btOaCig,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-15 11:23:22+04:00,2023,5,0,Working Hours,11
"20min. ""Power Yoga Flow for Strength and Flexibility"" -- Inner Dimension TV",https://www.youtube.com/watch?v=ontE9w96y_w,Travis Eliot,https://www.youtube.com/channel/UCHTisXO8TeozyYOxEZGC8XQ,2023-05-15 06:48:13+04:00,2023,5,0,Early Morning,6
Will THIS AI Tool Blow ChatGPT Out of the Water for Research?,https://www.youtube.com/watch?v=1G4ZAhUUusg,Andy Stapleton,https://www.youtube.com/channel/UCFqXmQ56-Gp1rIKa-GoAJvQ,2023-05-15 06:38:46+04:00,2023,5,0,Early Morning,6
I'll Never Code the Same Again... (GPT-4 is OP),https://www.youtube.com/watch?v=RRnThAtKuq0,Ken Jee,https://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,2023-05-14 17:39:38+04:00,2023,5,1,After Work Hours,17
How to Make A Data Science Portfolio Website with Github Pages,https://www.youtube.com/watch?v=1aXk2RViq3c,Ken Jee,https://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,2023-05-14 17:27:23+04:00,2023,5,1,After Work Hours,17
How to Create a Free Website Using GitHub Pages,https://www.youtube.com/watch?v=o5g-lUuFgpg,Tony Teaches Tech,https://www.youtube.com/channel/UCWPJwoVXJhv0-ucr3pUs1dA,2023-05-14 17:18:12+04:00,2023,5,1,After Work Hours,17
4 Million Subscriber Q&A,https://www.youtube.com/watch?v=JzprzToSzXg,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-05-14 14:24:36+04:00,2023,5,1,Working Hours,14
Post Malone - Chemical SQUAT CHALLENGE WORKOUT,https://www.youtube.com/watch?v=FMHPEWVUGOI,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2023-05-14 14:24:33+04:00,2023,5,1,Working Hours,14
20 MIN FULL BODY TONING & STRENGTH (Total Body Workout At Home),https://www.youtube.com/watch?v=YYgYRSkFoJs,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2023-05-14 14:02:39+04:00,2023,5,1,Working Hours,14
20 min FULL BODY BURN Workout At Home (Tone & Sculpting Fat Burn),https://www.youtube.com/watch?v=9WujK6Q2y1M,MadFit,https://www.youtube.com/channel/UCpQ34afVgk8cRQBjSJ1xuJQ,2023-05-14 14:00:56+04:00,2023,5,1,Working Hours,14
20 min Morning Power Yoga Flow - Intermediate Morning Yoga,https://www.youtube.com/watch?v=0BU-kza1sx8,Yoga with Kassandra,https://www.youtube.com/channel/UCX32D3gKXENrhOXdZjWWtMA,2023-05-14 07:08:59+04:00,2023,5,1,Early Morning,7
20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,https://www.youtube.com/watch?v=buwYuH3Ja1M,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-05-13 06:44:18+04:00,2023,5,1,Early Morning,6
Machine Learning Course for Beginners,https://www.youtube.com/watch?v=NWONeJKn6kc,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,2023-05-13 06:30:30+04:00,2023,5,1,Early Morning,6
Classification Trees in Python from Start to Finish,https://www.youtube.com/watch?v=q90UDEgYqeI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 16:37:05+04:00,2023,5,0,Working Hours,16
"One-Hot, Label, Target and K-Fold Target Encoding, Clearly Explained!!!",https://www.youtube.com/watch?v=589nCGeWG1w,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 16:25:00+04:00,2023,5,0,Working Hours,16
"How to Prune Regression Trees, Clearly Explained!!!",https://www.youtube.com/watch?v=D0efHEJsfHo,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 16:15:02+04:00,2023,5,0,Working Hours,16
"Regression Trees, Clearly Explained!!!",https://www.youtube.com/watch?v=g9c66TUylZ4,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 16:00:09+04:00,2023,5,0,Working Hours,16
"StatQuest: t-SNE, Clearly Explained",https://www.youtube.com/watch?v=NEaUSP4YerM,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:58:49+04:00,2023,5,0,Working Hours,15
"StatQuest: Decision Trees, Part 2 - Feature Selection and Missing Data",https://www.youtube.com/watch?v=wpNl-JwwplA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:52:58+04:00,2023,5,0,Working Hours,15
"Decision and Classification Trees, Clearly Explained!!!",https://www.youtube.com/watch?v=_L39rN6gz7Y,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:40:50+04:00,2023,5,0,Working Hours,15
"Gaussian Naive Bayes, Clearly Explained!!!",https://www.youtube.com/watch?v=H3EjCKtlVog,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:35:26+04:00,2023,5,0,Working Hours,15
"StatQuest: K-nearest neighbors, Clearly Explained",https://www.youtube.com/watch?v=HVXime0nQeI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:30:52+04:00,2023,5,0,Working Hours,15
"Clustering with DBSCAN, Clearly Explained!!!",https://www.youtube.com/watch?v=RDZUdRSDOok,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:24:00+04:00,2023,5,0,Working Hours,15
StatQuest: Hierarchical Clustering,https://www.youtube.com/watch?v=7xHsRkOdVwo,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 15:17:12+04:00,2023,5,0,Working Hours,15
How I'd become a Data Analyst | If I had to start all over again,https://www.youtube.com/watch?v=d_2fGS6QVDo,Data With Mo,https://www.youtube.com/channel/UCDybamfye5An6p-j1t2YMsg,2023-05-12 13:16:53+04:00,2023,5,0,Working Hours,13
How to Start Your First Business - The CASTLE Method,https://www.youtube.com/watch?v=bXLZ8I7s8tw,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-05-12 13:05:36+04:00,2023,5,0,Working Hours,13
How AI Could Save (Not Destroy) Education | Sal Khan | TED,https://www.youtube.com/watch?v=hJP5GqnTrNo,TED,https://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,2023-05-12 13:05:28+04:00,2023,5,0,Working Hours,13
ChatGPT can help you develop and refine your research questions and hypotheses,https://www.youtube.com/watch?v=fbhCEd8Uw9c,Mike X Cohen,https://www.youtube.com/channel/UCUR_LsXk7IYyueSnXcNextQ,2023-05-12 12:59:33+04:00,2023,5,0,Working Hours,12
Why Everyone Is OBSESSED With Notion,https://www.youtube.com/watch?v=aWGviOMQqSw,Enrico Tartarotti,https://www.youtube.com/channel/UCuQT7Vc3OjjZuGkqehNxb6w,2023-05-12 12:55:17+04:00,2023,5,0,Working Hours,12
12 Beginner Python Projects - Coding Course,https://www.youtube.com/watch?v=8ext9G7xspg,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,2023-05-12 12:35:24+04:00,2023,5,0,Working Hours,12
The Ultimate Mom Hack: Walmart+,https://www.youtube.com/watch?v=vFqYHtpdNo8,,,2023-05-12 12:34:35+04:00,2023,5,0,Working Hours,12
StatQuest: MDS and PCoA in R,https://www.youtube.com/watch?v=pGAUHhLYp5Q,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 10:58:30+04:00,2023,5,0,Working Hours,10
StatQuest: MDS and PCoA,https://www.youtube.com/watch?v=GEn-_dAyYME,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-12 10:43:22+04:00,2023,5,0,Working Hours,10
The Ben Franklin Effect 👴🏻,https://www.youtube.com/watch?v=Ra6mWPfgW4Q,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-05-12 07:46:15+04:00,2023,5,0,Early Morning,7
Will ChatGPT Code Interpreter Replace Data Analysts?,https://www.youtube.com/watch?v=kHdAb8yBBDI,Thu Vu data analytics,https://www.youtube.com/channel/UCJQJAI7IjbLcpsjWdSzYz0Q,2023-05-12 07:42:36+04:00,2023,5,0,Early Morning,7
How to Deploy Machine Learning Models (ft Runway),https://www.youtube.com/watch?v=tSiS15ubQFQ,Thu Vu data analytics,https://www.youtube.com/channel/UCJQJAI7IjbLcpsjWdSzYz0Q,2023-05-12 07:36:55+04:00,2023,5,0,Early Morning,7
What Does a Data Analyst Actually Do? (2023),https://www.youtube.com/watch?v=oqhQwuQOpJA,CareerFoundry,https://www.youtube.com/channel/UCzAF54cHk1ZO82af-8E3qOQ,2023-05-12 07:29:37+04:00,2023,5,0,Early Morning,7
"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",https://www.youtube.com/watch?v=yRCUfumiqhk,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-05-12 07:08:41+04:00,2023,5,0,Early Morning,7
StatQuest: MDS and PCoA,https://www.youtube.com/watch?v=GEn-_dAyYME,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 16:33:57+04:00,2023,5,0,Working Hours,16
A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 16:33:29+04:00,2023,5,0,Working Hours,16
"StatQuest: Principal Component Analysis (PCA), Step-by-Step",https://www.youtube.com/watch?v=FgakZw6K1QQ,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 14:55:25+04:00,2023,5,0,Working Hours,14
StatQuest: PCA in Python,https://www.youtube.com/watch?v=Lsue2gEM9D0,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 14:31:05+04:00,2023,5,0,Working Hours,14
StatQuest: PCA in R,https://www.youtube.com/watch?v=0Jp4gsfOLMs,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 14:25:10+04:00,2023,5,0,Working Hours,14
StatQuest: PCA - Practical Tips,https://www.youtube.com/watch?v=oRvgq966yZg,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 14:19:02+04:00,2023,5,0,Working Hours,14
"Ridge, Lasso and Elastic-Net Regression in R",https://www.youtube.com/watch?v=ctmNq7FgbvI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 14:07:57+04:00,2023,5,0,Working Hours,14
Regularization Part 3: Elastic Net Regression,https://www.youtube.com/watch?v=1dKRdX9bfIo,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 13:55:34+04:00,2023,5,0,Working Hours,13
"Ridge vs Lasso Regression, Visualized!!!",https://www.youtube.com/watch?v=Xm2C_gTAl8c,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 13:49:44+04:00,2023,5,0,Working Hours,13
Regularization Part 2: Lasso (L1) Regression,https://www.youtube.com/watch?v=NGf0voTMlcs,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 13:39:38+04:00,2023,5,0,Working Hours,13
Regularization Part 1: Ridge (L2) Regression,https://www.youtube.com/watch?v=Q81RR3yKn30,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 12:02:29+04:00,2023,5,0,Working Hours,12
Deviance Residuals,https://www.youtube.com/watch?v=JC56jS2gVUE,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:57:09+04:00,2023,5,0,Working Hours,11
"Logistic Regression in R, Clearly Explained!!!!",https://www.youtube.com/watch?v=C4N3_XJJ-jU,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:48:28+04:00,2023,5,0,Working Hours,11
