,VideoID,ChannelID,CategoryID,VideoTitle,ChannelTitle,CategoryName,ViewCount,LikeCount,DislikeCount,Duration
0,q90UDEgYqeI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,Classification Trees in Python from Start to Finish,StatQuest with Josh Starmer,Education,154917,3582,0,3984.0
1,q90UDEgYqeI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,Classification Trees in Python from Start to Finish,StatQuest with Josh Starmer,Education,154917,3582,0,3984.0
2,q90UDEgYqeI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,Classification Trees in Python from Start to Finish,StatQuest with Josh Starmer,Education,154917,3582,0,3984.0
3,CqLGvwi-5Pc,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Design Matrices For Linear Models, Clearly Explained!!!",StatQuest with Josh Starmer,Education,103188,1773,0,880.0
4,CqLGvwi-5Pc,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Design Matrices For Linear Models, Clearly Explained!!!",StatQuest with Josh Starmer,Education,103188,1773,0,880.0
5,NF5_btOaCig,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",StatQuest with Josh Starmer,Education,346387,5190,0,698.0
6,NF5_btOaCig,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",StatQuest with Josh Starmer,Education,346387,5190,0,698.0
7,NF5_btOaCig,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",StatQuest with Josh Starmer,Education,346387,5190,0,698.0
8,NF5_btOaCig,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",StatQuest with Josh Starmer,Education,346387,5190,0,698.0
9,NF5_btOaCig,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",StatQuest with Josh Starmer,Education,346387,5190,0,698.0
10,ontE9w96y_w,UCHTisXO8TeozyYOxEZGC8XQ,19,"20min. ""Power Yoga Flow for Strength and Flexibility"" -- Inner Dimension TV",Travis Eliot,Travel & Events,58439,2388,0,1299.0
11,ontE9w96y_w,UCHTisXO8TeozyYOxEZGC8XQ,19,"20min. ""Power Yoga Flow for Strength and Flexibility"" -- Inner Dimension TV",Travis Eliot,Travel & Events,58439,2388,0,1299.0
12,ontE9w96y_w,UCHTisXO8TeozyYOxEZGC8XQ,19,"20min. ""Power Yoga Flow for Strength and Flexibility"" -- Inner Dimension TV",Travis Eliot,Travel & Events,58439,2388,0,1299.0
13,1G4ZAhUUusg,UCFqXmQ56-Gp1rIKa-GoAJvQ,22,Will THIS AI Tool Blow ChatGPT Out of the Water for Research?,Andy Stapleton,People & Blogs,52586,1876,0,627.0
14,RRnThAtKuq0,UCiT9RITQ9PW6BhXK0y2jaeg,22,I'll Never Code the Same Again... (GPT-4 is OP),Ken Jee,People & Blogs,68657,766,0,467.0
15,1aXk2RViq3c,UCiT9RITQ9PW6BhXK0y2jaeg,22,How to Make A Data Science Portfolio Website with Github Pages,Ken Jee,People & Blogs,118235,4139,0,829.0
16,o5g-lUuFgpg,UCWPJwoVXJhv0-ucr3pUs1dA,26,How to Create a Free Website Using GitHub Pages,Tony Teaches Tech,Howto & Style,115825,2049,0,754.0
17,JzprzToSzXg,UCoOae5nYA7VqaXzerajD0lg,27,4 Million Subscriber Q&A,Ali Abdaal,Education,70263,3350,0,1196.0
18,FMHPEWVUGOI,UCpQ34afVgk8cRQBjSJ1xuJQ,22,Post Malone - Chemical SQUAT CHALLENGE WORKOUT,MadFit,People & Blogs,62711,1746,0,201.0
19,YYgYRSkFoJs,UCpQ34afVgk8cRQBjSJ1xuJQ,22,20 MIN FULL BODY TONING & STRENGTH (Total Body Workout At Home),MadFit,People & Blogs,117705,4731,0,1326.0
20,9WujK6Q2y1M,UCpQ34afVgk8cRQBjSJ1xuJQ,22,20 min FULL BODY BURN Workout At Home (Tone & Sculpting Fat Burn),MadFit,People & Blogs,1873150,45476,0,1335.0
